"Ayat_id","mm_Translation","multi_ayats"
1,"နူးန်။ 1815 (ကျမ်းမြတ်ကုရ်အာန်သည်) မင် (ဖြင့် မှတ်တမ်းတင်ထားသော ဥပဒေကျမ်းဖြစ်၏)။# (တစ်နည်း) (ကျမ်းမြတ်ကုရ်အာန်သည်) ဓားသွား (ပမာ အမှားများကို ဖြတ်တောက်ပစ်၏)။# (တစ်နည်း) (ကျမ်းမြတ်ကုရ်အာန်သည်) အသိပညာ၏ အနှစ်ချုပ် (ဖြစ်၏)။ (ငါသည်) ကလောင်တံနှင့် 1816 (ယင်းကလောင်ဖြင့်) ရေးသား မှတ်တမ်းတင်ကြသည်တို့ကို သက်သေထူ၏။",""
2,"သင့်အား ပျိုးထောင်မှုစနစ်အားဖြင့် ဖွံ့ဖြိုးစေ သောအရှင်၏ ကျေးဇူးပြုမှုကြောင့်သင်သည် ရူးသွပ်နေ သူ မဟုတ်ပေ။*@* [ဤအကြောင်းနှင့် ပတ်သက်၍ [15:6] အောက်ခြေ (၁၀၂၅)]#[(مَجْنُوْنٌ) ‘မဂျ်နူးန်’ “သူရူး” ဟူသော အသုံးအနှုန်းအတွက် [26:27] [37:36] [44:14] [51:39] [51:52] [52:29] [54:9] [68:51] စသည်တို့ကို တွဲဖက် လေ့လာပါရန်]",""
3,"ဧကန်အမှန် သင့်အဖို့ ကုန်ဆုံးခြင်း မရှိသော (တစ်နည်း) အမြဲမပြတ် ရရှိသော (တစ်နည်း) ထိုက်တန် သော ကောင်းကျိုးသည် ရှိ၏။",""
4,"မလွဲဧကန် သင်သည် မြင့်မြတ်သော ကိုယ်ကျင့်တရား၊ စာရိတ္တအပေါ်၌ အမှန်ပင် ရှိနေ၏။",""
5,"သို့ဖြစ်ရာ သင်တို့အနက် မည်သူ၌ ရူးသွပ်ခြင်းဝေဒနာ ရှိနေသည်ကို မကြာမီ သင်သည်လည်း မြင်ရ မည် ဖြစ်ပြီး၊ သူတို့လည်း မြင်ကြရပေမည်။","5-6"
7,"ဧကန်အမှန် သင့်အား ပျိုးထောင်မှုစနစ်အားဖြင့် ဖွံ့ဖြိုးစေသောအရှင်သည် မိမိ (ပြဋ္ဌာန်းအပ်သော လူ့ဘဝ) လမ်းစဉ်မှ တိမ်းချော်သွားသောသူကို အသိဆုံးဖြစ်၏။ ထိုနည်းတူစွာ (ဘဝ) လမ်းမှန်ပေါ်၌ ရှိနေသူများကိုလည်း အသိဆုံးဖြစ်၏။ (တစ်နည်း) အရှင်သည်လမ်းလွဲသူနှင့် လမ်းမှန်သူတို့ကိုမိမိ၏ သိမှုဥပဒေနှင့်အညီ မှတ်တမ်းတင်ထား၏။*@* [16:125]",""
8,"သင်သည်မဟုတ်မမှန်ဟု စွပ်စွဲသောသူတို့ (၏ ဆန္ဒ) ကို မလိုက်နာနှင့်။ (တစ်နည်း) အပေးအယူလုပ် ခြင်းကို အလျှော့ပေး၍ မလိုက်လျောနှင့်။",""
9,"သင် အလျှော့ပေး လိုက်လျောလျှင် သူတို့သည်လည်း အလျှော့ပေး လိုက်လျောရန် ဆန္ဒရှိကြ၏။@[ဆက်စပ်အာယဟ်များ [][10:15] [11:113] [17:74-75]]",""
10,"ထို့ပြင် ဂုဏ်သိက္ခာမရှိသော၊ ကျိန်ဆိုမှုကို လွန်စွာကျိန်ဆိုလေ့ရှိသူ၊ စိတ်ဝမ်းကွဲစေသောသူ (တစ်နည်း) လွန်စွာ စောင်းချိတ်ပြောဆိုသူ၊ ကုန်းချောသူ (တစ်နည်း) သွားပုပ်လေလွင့် လျှောက်ပြောသူ၊ ကောင်းကျိုးဆောင်သော ကိစ္စများကို ဟန့်တားသူ၊ စည်းကမ်းကျူးလွန်သူ၊ (အပြုကိစ္စများ ဆောင်ရွက်ရာတွင်) နောက်ကျ ကျန်ရစ်သူ၊ ပစ္စည်းဥစ္စာနှင့် သားသမီးများ (တစ်နည်း) နောက်လိုက်နောက်ပါများကို ပိုင်ဆိုင်သောကြောင့် လွန်စွာ စိတ်ဓာတ် ခက်ထန်၊ ကြမ်းကြုတ်၍ မာန်စောင်သူ၊ မျိုးရိုးမစစ်သူ၊ (တစ်နည်း) ဉာဏ်ရည်နိမ့်ပါးသူ၊ (တစ်နည်း) ဉာဏ်ရည်နိမ့်ပါးသောကြောင့် စိတ်ဓာတ် ခက်ထန် ကြမ်းကြုတ်၍ မာန်စောင်သူ၏ ဆန္ဒကို သင် မလိုက်လျောနှင့်။","10-14"
15,"သူ့ရှေ့၌ ငါ၏ အာယားသ် (သက်သေပြ လမ်းညွှန်များ) ကို ချပြ၊ လိုက်နာသောအခါ သူက “ဤသည် ရှေးလူတို့၏ အခြေအမြစ်မရှိသော ဒဏ္ဍာရီများ ဖြစ်သည်” ဟု တုံ့ပြန် ပြောဆို၏။",""
